epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.285,1.34971,3.68135,1.25854,0.01965,0.94131,0.13958,0.08103,1.45557,3.41767,1.4319,0.000328431,0.000328431,0.000328431
2,228.494,1.21916,2.92842,1.15607,0.30292,0.51413,0.22106,0.1433,1.41653,2.22783,1.62985,0.000655213,0.000655213,0.000655213
3,306.585,1.25491,2.36306,1.19527,0.33535,0.44903,0.24262,0.16229,1.37037,2.89795,1.53302,0.000975395,0.000975395,0.000975395
4,385.354,1.1914,2.05031,1.19157,0.17564,0.5954,0.24493,0.1549,1.39474,2.6946,1.50745,0.0009703,0.0009703,0.0009703
5,464.519,1.19352,1.94758,1.20357,0.15896,0.62178,0.26832,0.17486,1.43958,1.97937,1.54221,0.0009604,0.0009604,0.0009604
6,546.408,1.17576,1.8605,1.20183,0.15592,0.48629,0.27416,0.18291,1.34813,2.08561,1.48802,0.0009505,0.0009505,0.0009505
7,623.624,1.14392,1.835,1.18634,0.40432,0.3827,0.28755,0.19039,1.35542,1.87339,1.44695,0.0009406,0.0009406,0.0009406
8,701.634,1.13126,1.80443,1.17038,0.20536,0.54991,0.2996,0.19862,1.32789,1.82947,1.42285,0.0009307,0.0009307,0.0009307
9,796.866,1.14365,1.77027,1.17601,0.20673,0.47678,0.29314,0.19463,1.31064,1.7821,1.39573,0.0009208,0.0009208,0.0009208
10,925.222,1.13339,1.72536,1.16537,0.20768,0.62535,0.30831,0.20865,1.31846,1.6307,1.3738,0.0009109,0.0009109,0.0009109
11,1055.17,1.11498,1.69709,1.16299,0.2183,0.5267,0.32742,0.22166,1.3296,1.66639,1.41362,0.000901,0.000901,0.000901
12,1183.18,1.13021,1.68405,1.16124,0.23554,0.56366,0.32761,0.22896,1.2822,1.58254,1.37286,0.0008911,0.0008911,0.0008911
13,1313.8,1.12094,1.65322,1.16132,0.26143,0.52838,0.32447,0.22377,1.28648,1.67426,1.37933,0.0008812,0.0008812,0.0008812
14,1435.11,1.10191,1.66619,1.1503,0.2337,0.5515,0.34568,0.23654,1.25253,1.54398,1.36257,0.0008713,0.0008713,0.0008713
15,1558.49,1.0647,1.61933,1.1239,0.28597,0.60045,0.3605,0.25239,1.17943,1.55651,1.31508,0.0008614,0.0008614,0.0008614
16,1686.56,1.09443,1.61295,1.15857,0.21962,0.59972,0.35301,0.24436,1.18951,1.61351,1.33339,0.0008515,0.0008515,0.0008515
